Site,Latitude,Longitude
NACD_-04,39.3161996,-106.3525113
NACD_-03,44.4326320,-112.6410457
NACD_-02,46.0110851,-114.1741044
NACD_-01,46.0750978,-111.9688088
NACD_00,48.4400778,-113.0202862
NACD_01,49.0258103,-114.2953734
NACD_02,51.8919142,-116.3197820
NACD_03,53.8503381,-119.9526075
NACD_04,54.2243063,-124.0022556
NACD_05,57.3874297,-127.0776018
NACD_06,59.8604645,-129.9544584
NACD_07,61.9946651,-128.1753303
NACD_08,64.3546628,-131.4842782
NACD_09,65.2446970,-138.7556049
NACD_10,67.2105807,-136.0051502
NACD_11,68.9096536,-140.9530574
NACD_12,68.0571737,-150.0743614
NACD_13,67.5385364,-156.2854274
NACD_14,65.7884401,-159.0679916
NACD_15,65.6395196,-167.3522879